gender,job_title,job_industry_category,wealth_segment,tenure,postcode,state,property_valuation,Age_category,past_3_years_bike_related_purchases_categories,cluster,customer_id
Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,3120
Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,402
Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,3135
Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,787
Male,Web Designer II,Property,Affluent Customer,16,2153,NSW,10,55-64,Below 10,Cat_3,2339
Male,Food Chemist,Health,Mass Customer,12,2155,NSW,10,35-44,51-60,Cat_1,1542
Female,Quality Engineer,Manufacturing,High Net Worth,18,4034,QLD,6,35-44,61-70,Cat_3,2459
Male,Executive Secretary,Financial Services,High Net Worth,6,4124,QLD,4,45-54,Above 90,Cat_2,1305
Male,Product Engineer,Entertainment,Mass Customer,12,4221,QLD,8,55-64,61-70,Cat_3,3262
Female,Sales Representative,Retail,Mass Customer,16,2170,NSW,8,35-44,51-60,Cat_1,1986
Male,Sales Representative,Retail,Affluent Customer,7,2171,NSW,9,35-44,Nov-20,Cat_3,2783
Male,Research Assistant II,Retail,Mass Customer,8,2155,NSW,11,Above 64,71-80,Cat_3,1243
Male,Registered Nurse,Health,Mass Customer,13,2580,NSW,5,35-44,31-40,Cat_3,2717
Female,Staff Accountant II,Financial Services,High Net Worth,13,2283,NSW,4,35-44,61-70,Cat_2,247
Male,Assistant Manager,Health,Mass Customer,12,3031,VIC,8,45-54,51-60,Cat_2,2961
Male,Accountant IV,Financial Services,Mass Customer,8,2250,NSW,8,45-54,81-90,Cat_1,1842
Female,Pharmacist,Health,Mass Customer,19,3218,VIC,8,55-64,61-70,Cat_3,2268
Male,Paralegal,Financial Services,Mass Customer,16,2470,NSW,2,Above 64,61-70,Cat_1,3002
Male,Office Assistant III,Property,Mass Customer,4,2101,NSW,11,45-54,31-40,Cat_1,1582
Female,Analog Circuit Design manager,Manufacturing,Mass Customer,3,2800,NSW,4,45-54,21-30,Cat_3,2001
Female,Help Desk Operator,IT,High Net Worth,8,2026,NSW,12,25-34,51-60,Cat_3,515
Female,Professor,Financial Services,Mass Customer,3,3124,VIC,12,35-44,81-90,Cat_2,2822
Female,Assistant Professor,Manufacturing,Affluent Customer,13,2280,NSW,7,45-54,51-60,Cat_1,2596
Male,Occupational Therapist,Health,Mass Customer,9,2151,NSW,8,45-54,Below 10,Cat_1,2666
Female,Statistician II,Retail,High Net Worth,18,4213,QLD,9,45-54,Nov-20,Cat_2,76
Female,Technical Writer,Financial Services,Affluent Customer,16,2564,NSW,8,55-64,Below 10,Cat_1,3368
Male,Account Coordinator,Property,Mass Customer,15,3141,VIC,8,55-64,21-30,Cat_2,2810
Female,Software Engineer III,Financial Services,Mass Customer,9,4869,QLD,3,25-34,Below 10,Cat_1,3214
