customer_id,transaction_month,transaction_month_number,online_order,order_status,brand,product_line,product_class,product_size,list_price_categories
3120,May,5,True,Approved,Trek Bicycles,Standard,medium,large,Above 2000
3120,Oct,10,False,Approved,Giant Bicycles,Standard,high,medium,1001-1200
3120,Oct,10,True,Approved,Solex,Standard,medium,medium,Below 200
3120,Jan,1,False,Approved,Giant Bicycles,Standard,medium,large,401-600
3120,Jan,1,True,Approved,Solex,Standard,medium,medium,1401-1600
3120,Dec,12,False,Approved,Solex,Road,medium,medium,401-600
3120,Oct,10,False,Approved,WeareA2B,Touring,medium,medium,1401-1600
402,Oct,10,False,Approved,OHM Cycles,Standard,low,medium,1601-1800
402,Nov,11,True,Approved,Trek Bicycles,Road,low,small,1601-1800
402,Sep,9,True,Approved,WeareA2B,Standard,medium,medium,1201-1400
402,Jan,1,False,Approved,Trek Bicycles,Standard,medium,large,Above 2000
402,May,5,True,Approved,OHM Cycles,Standard,low,medium,Below 200
402,Oct,10,False,Approved,Norco Bicycles,Road,medium,large,1201-1400
3135,Aug,8,False,Approved,Norco Bicycles,Standard,medium,medium,1001-1200
3135,Feb,2,True,Approved,Solex,Standard,medium,large,1001-1200
3135,Feb,2,False,Approved,Trek Bicycles,Standard,high,medium,201-400
3135,May,5,False,Approved,Solex,Standard,medium,large,1001-1200
3135,May,5,False,Approved,Solex,Standard,medium,medium,1801-2000
3135,May,5,False,Approved,Solex,Standard,medium,medium,Below 200
3135,Feb,2,True,Approved,Solex,Standard,high,large,1801-2000
787,Oct,10,True,Approved,Giant Bicycles,Standard,medium,large,1601-1800
787,Jan,1,True,Approved,WeareA2B,Standard,medium,medium,1201-1400
787,Jun,6,False,Approved,Solex,Touring,medium,large,Above 2000
787,Aug,8,True,Approved,OHM Cycles,Standard,high,medium,1401-1600
787,Jun,6,True,Approved,OHM Cycles,Standard,high,medium,1401-1600
787,Sep,9,True,Approved,Solex,Standard,medium,medium,401-600
787,Feb,2,True,Approved,WeareA2B,Standard,medium,medium,Below 200
787,Oct,10,False,Approved,Giant Bicycles,Standard,medium,medium,201-400
787,Apr,4,True,Approved,Giant Bicycles,Standard,medium,large,1801-2000
787,May,5,True,Approved,Norco Bicycles,Mountain,low,small,601-800
2339,Mar,3,True,Approved,Giant Bicycles,Road,medium,medium,1401-1600
2339,May,5,False,Approved,Giant Bicycles,Standard,high,small,1801-2000
2339,Dec,12,True,Approved,OHM Cycles,Standard,medium,medium,601-800
2339,Feb,2,False,Approved,Norco Bicycles,Standard,low,medium,201-400
2339,Nov,11,True,Approved,Norco Bicycles,Standard,high,small,1601-1800
